scenario,scenario_label,sector,subsector,technology,canonical_technology,capital_premium,fixedOM_premium,variableOM_premium,factor_source,capital_formal_use,fixedOM_formal_use,variableOM_formal_use,source_ids,assumption_ids,keep_variable_OM_unchanged,mapping_note
mid,HK_cost_premium_mid,subpeak generation,solar,CSP_subpeak,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
high,HK_cost_premium_high,subpeak generation,solar,CSP_subpeak,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
low,HK_cost_premium_low,peak generation,solar,PV_peak,solar_PV_base,1.6,1.75,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
mid,HK_cost_premium_mid,peak generation,solar,PV_peak,solar_PV_base,2,2,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
high,HK_cost_premium_high,peak generation,solar,PV_peak,solar_PV_base,2.4,2.45,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
low,HK_cost_premium_low,peak generation,solar,CSP_peak,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
mid,HK_cost_premium_mid,peak generation,solar,CSP_peak,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
high,HK_cost_premium_high,peak generation,solar,CSP_peak,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
low,HK_cost_premium_low,base load generation,wind,wind_base,wind_no_storage,1.6,1.67,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
mid,HK_cost_premium_mid,base load generation,wind,wind_base,wind_no_storage,1.83,1.77,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
high,HK_cost_premium_high,base load generation,wind,wind_base,wind_no_storage,2,1.89,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
low,HK_cost_premium_low,base load generation,wind,wind_base_offshore,wind_offshore,1.2,1.15,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_wind_offshore,yes,Fallback from prior premium-reference MD: offshore wind; OM-var kept unchanged.
mid,HK_cost_premium_mid,base load generation,wind,wind_base_offshore,wind_offshore,1.35,1.25,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_wind_offshore,yes,Fallback from prior premium-reference MD: offshore wind; OM-var kept unchanged.
high,HK_cost_premium_high,base load generation,wind,wind_base_offshore,wind_offshore,1.5,1.35,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_wind_offshore,yes,Fallback from prior premium-reference MD: offshore wind; OM-var kept unchanged.
low,HK_cost_premium_low,base load generation,wind,wind_base_storage,wind_plus_battery_storage,1.46,1.55,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_IRENA_2023;S_NREL_ATB_2024;S_V3_ASSUMPTIONS,A_WIND_STORAGE_BESS_capital;A_WIND_STORAGE_BESS_fixed_OM;A_WIND_STORAGE_BESS_variable_OM;A_WIND_STORAGE_GEN_capital;A_WIND_STORAGE_GEN_fixed_OM;A_WIND_STORAGE_GEN_variable_OM,yes,Composite wind+BESS component formula.
mid,HK_cost_premium_mid,base load generation,wind,wind_base_storage,wind_plus_battery_storage,1.66,1.65,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_IRENA_2023;S_NREL_ATB_2024;S_V3_ASSUMPTIONS,A_WIND_STORAGE_BESS_capital;A_WIND_STORAGE_BESS_fixed_OM;A_WIND_STORAGE_BESS_variable_OM;A_WIND_STORAGE_GEN_capital;A_WIND_STORAGE_GEN_fixed_OM;A_WIND_STORAGE_GEN_variable_OM,yes,Composite wind+BESS component formula.
high,HK_cost_premium_high,base load generation,wind,wind_base_storage,wind_plus_battery_storage,1.82,1.77,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_IRENA_2023;S_NREL_ATB_2024;S_V3_ASSUMPTIONS,A_WIND_STORAGE_BESS_capital;A_WIND_STORAGE_BESS_fixed_OM;A_WIND_STORAGE_BESS_variable_OM;A_WIND_STORAGE_GEN_capital;A_WIND_STORAGE_GEN_fixed_OM;A_WIND_STORAGE_GEN_variable_OM,yes,Composite wind+BESS component formula.
low,HK_cost_premium_low,intermediate generation,wind,wind_int,wind_no_storage,1.6,1.67,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
mid,HK_cost_premium_mid,intermediate generation,wind,wind_int,wind_no_storage,1.83,1.77,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
high,HK_cost_premium_high,intermediate generation,wind,wind_int,wind_no_storage,2,1.89,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
low,HK_cost_premium_low,subpeak generation,wind,wind_subpeak,wind_no_storage,1.6,1.67,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
mid,HK_cost_premium_mid,subpeak generation,wind,wind_subpeak,wind_no_storage,1.83,1.77,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
high,HK_cost_premium_high,subpeak generation,wind,wind_subpeak,wind_no_storage,2,1.89,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_LAMMA_WINDS;S_IRENA_2023;S_NREL_ATB_2024,A_WIND_ON_capital;A_WIND_ON_fixed_OM;A_WIND_ON_variable_OM,yes,GCAM stub does not specify offshore; default engineering basis is onshore.
low,HK_cost_premium_low,base load generation,biomass,biomass_base_IGCC,biomass_IGCC,1.05,1.05,1.05,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_capital;A_biomass_IGCC_fixed_OM;A_biomass_IGCC_variable_OM,no,No Hong Kong comparator; model assumption only.
mid,HK_cost_premium_mid,base load generation,biomass,biomass_base_IGCC,biomass_IGCC,1.2,1.2,1.2,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_capital;A_biomass_IGCC_fixed_OM;A_biomass_IGCC_variable_OM,no,No Hong Kong comparator; model assumption only.
high,HK_cost_premium_high,base load generation,biomass,biomass_base_IGCC,biomass_IGCC,1.5,1.5,1.5,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_capital;A_biomass_IGCC_fixed_OM;A_biomass_IGCC_variable_OM,no,No Hong Kong comparator; model assumption only.
low,HK_cost_premium_low,base load generation,biomass,biomass_base_IGCC_CCS,biomass_IGCC_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_CCS_capital;A_biomass_IGCC_CCS_fixed_OM;A_biomass_IGCC_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
mid,HK_cost_premium_mid,base load generation,biomass,biomass_base_IGCC_CCS,biomass_IGCC_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_CCS_capital;A_biomass_IGCC_CCS_fixed_OM;A_biomass_IGCC_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
high,HK_cost_premium_high,base load generation,biomass,biomass_base_IGCC_CCS,biomass_IGCC_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_CCS_capital;A_biomass_IGCC_CCS_fixed_OM;A_biomass_IGCC_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
low,HK_cost_premium_low,base load generation,biomass,biomass_base_conv,biomass_conv,1.15,1.15,1.15,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_capital;A_biomass_conv_fixed_OM;A_biomass_conv_variable_OM,no,GCAM load variant inherits same biomass combustion multiplier.
mid,HK_cost_premium_mid,base load generation,biomass,biomass_base_conv,biomass_conv,1.35,1.35,1.35,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_capital;A_biomass_conv_fixed_OM;A_biomass_conv_variable_OM,no,GCAM load variant inherits same biomass combustion multiplier.
high,HK_cost_premium_high,base load generation,biomass,biomass_base_conv,biomass_conv,1.7,1.7,1.7,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_capital;A_biomass_conv_fixed_OM;A_biomass_conv_variable_OM,no,GCAM load variant inherits same biomass combustion multiplier.
low,HK_cost_premium_low,base load generation,biomass,biomass_base_conv_CCS,biomass_conv_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_CCS_capital;A_biomass_conv_CCS_fixed_OM;A_biomass_conv_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
mid,HK_cost_premium_mid,base load generation,biomass,biomass_base_conv_CCS,biomass_conv_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_CCS_capital;A_biomass_conv_CCS_fixed_OM;A_biomass_conv_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
high,HK_cost_premium_high,base load generation,biomass,biomass_base_conv_CCS,biomass_conv_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_CCS_capital;A_biomass_conv_CCS_fixed_OM;A_biomass_conv_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
low,HK_cost_premium_low,base load generation,coal,coal_base_IGCC,coal_IGCC,1.05,1.05,1.05,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_capital;A_coal_IGCC_fixed_OM;A_coal_IGCC_variable_OM,no,No Hong Kong IGCC evidence; model assumption only.
mid,HK_cost_premium_mid,base load generation,coal,coal_base_IGCC,coal_IGCC,1.2,1.2,1.2,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_capital;A_coal_IGCC_fixed_OM;A_coal_IGCC_variable_OM,no,No Hong Kong IGCC evidence; model assumption only.
high,HK_cost_premium_high,base load generation,coal,coal_base_IGCC,coal_IGCC,1.5,1.5,1.5,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_capital;A_coal_IGCC_fixed_OM;A_coal_IGCC_variable_OM,no,No Hong Kong IGCC evidence; model assumption only.
low,HK_cost_premium_low,base load generation,coal,coal_base_IGCC_CCS,coal_IGCC_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_CCS_capital;A_coal_IGCC_CCS_fixed_OM;A_coal_IGCC_CCS_variable_OM,no,No Hong Kong IGCC/CCS evidence; model assumption only.
mid,HK_cost_premium_mid,base load generation,coal,coal_base_IGCC_CCS,coal_IGCC_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_CCS_capital;A_coal_IGCC_CCS_fixed_OM;A_coal_IGCC_CCS_variable_OM,no,No Hong Kong IGCC/CCS evidence; model assumption only.
high,HK_cost_premium_high,base load generation,coal,coal_base_IGCC_CCS,coal_IGCC_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_CCS_capital;A_coal_IGCC_CCS_fixed_OM;A_coal_IGCC_CCS_variable_OM,no,No Hong Kong IGCC/CCS evidence; model assumption only.
low,HK_cost_premium_low,base load generation,coal,coal_base_conv pul,coal_conv_pul,1.2,1.15,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
mid,HK_cost_premium_mid,base load generation,coal,coal_base_conv pul,coal_conv_pul,1.3,1.225,1.2,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
high,HK_cost_premium_high,base load generation,coal,coal_base_conv pul,coal_conv_pul,1.4,1.3,1.3,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
low,HK_cost_premium_low,base load generation,coal,coal_base_conv pul_CCS,coal_conv_pul_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_conv_pul_CCS_capital;A_coal_conv_pul_CCS_fixed_OM;A_coal_conv_pul_CCS_variable_OM,no,No current Hong Kong coal new-build evidence; do not use as evidence.
mid,HK_cost_premium_mid,base load generation,coal,coal_base_conv pul_CCS,coal_conv_pul_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_conv_pul_CCS_capital;A_coal_conv_pul_CCS_fixed_OM;A_coal_conv_pul_CCS_variable_OM,no,No current Hong Kong coal new-build evidence; do not use as evidence.
high,HK_cost_premium_high,base load generation,coal,coal_base_conv pul_CCS,coal_conv_pul_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_conv_pul_CCS_capital;A_coal_conv_pul_CCS_fixed_OM;A_coal_conv_pul_CCS_variable_OM,no,No current Hong Kong coal new-build evidence; do not use as evidence.
low,HK_cost_premium_low,base load generation,gas,gas_base_CC,gas_base_steam_CT,1.25,1.5,1.33,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_CCGT_capital;A_GAS_CCGT_fixed_OM;A_GAS_CCGT_variable_OM,no,GCAM name ambiguous; CCGT basis used because HK evidence is gas combined-cycle.
mid,HK_cost_premium_mid,base load generation,gas,gas_base_CC,gas_base_steam_CT,1.4,1.55,1.36,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_CCGT_capital;A_GAS_CCGT_fixed_OM;A_GAS_CCGT_variable_OM,no,GCAM name ambiguous; CCGT basis used because HK evidence is gas combined-cycle.
high,HK_cost_premium_high,base load generation,gas,gas_base_CC,gas_base_steam_CT,1.55,1.6,1.41,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_CCGT_capital;A_GAS_CCGT_fixed_OM;A_GAS_CCGT_variable_OM,no,GCAM name ambiguous; CCGT basis used because HK evidence is gas combined-cycle.
low,HK_cost_premium_low,base load generation,gas,gas_base_CC_CCS,fossil_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
mid,HK_cost_premium_mid,base load generation,gas,gas_base_CC_CCS,fossil_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
high,HK_cost_premium_high,base load generation,gas,gas_base_CC_CCS,fossil_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
low,HK_cost_premium_low,base load generation,geothermal,geo_base,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
mid,HK_cost_premium_mid,base load generation,geothermal,geo_base,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
high,HK_cost_premium_high,base load generation,geothermal,geo_base,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
low,HK_cost_premium_low,base load generation,nuclear,nuc_base_Gen II,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
mid,HK_cost_premium_mid,base load generation,nuclear,nuc_base_Gen II,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
high,HK_cost_premium_high,base load generation,nuclear,nuc_base_Gen II,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
low,HK_cost_premium_low,base load generation,nuclear,nuc_base_Gen III,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
